Место, где смыкается|смычка
Вода, выступившая на поверхность льда (на реке, озере и т.п.)|наледь
Название некоторых вспомогательных промежуточных деталей в механизмах и узлах машин|сухарь
Тупая боль в костях, суставах, мышцах|ломота
Один из древесных паразитов - жук, личинки которого питаются древесиной; дровосек|усач
Прочная крученая толстая веревка|бечева
Один из трех (с 1863 г. - двух) сословно-податных разрядов, на которые делилось купечество в зависимости от имущественного положения (в Российском государстве до 1917 г.)|гильдия
Руководитель, учитель|наставник
Использование, расходование для удовлетворения потребностей|потребление
Специальная обработка древесного угля или других пористых тел для увеличения их способности поглощать жидкости, газы|активация
Единица силы в механике, равная силе, которая массе в 1 г сообщает ускорение 1 см в секунду в квадрате|дина
Ручной инструмент для паяния|паяльник
Прибор для курения, состоящий из мундштука и чашечки для накладывания табака|трубка
Еловый лес|ельник
Остаток недогоревшей свечи|огарок
Рыболовная снасть, сплетенная обычно из ивовых прутьев, в виде узкой круглой корзины с воронкообразным отверстием|верша
Растение семейства пасленовых; паслен черный|поздника
Заснеженное пастбище|тебеневка
Вечнозеленое тропическое дерево с сильно ароматической, богатой эфирными маслами древесиной|сандал
Цилиндр (обычно металлический) с дном, предназначенный для помещения заряда и соединения частей патрона, снаряда|гильза
Разновидность рыболовной снасти|паук
Подбор идущих в последовательном порядке карт одной масти в игре в покер|флешь
Круглый сладкий пирожок, жаренный в масле|пончик
Помещение с потайным входом, служащее для хранения или для укрытия|тайник
Однолетнее травянистое растение семейства злаков, являющееся одной из важнейших зерновых, фуражных и силосных культур; маис|кукуруза
Двухпалатный парламент в австрийской части Австро-Венгрии в 1867-1918 гг|рейхсрат
Короткое песнопение на тему праздника (в православном богослужении)|кондак
Величина поперечного сечения отдельного волокна шерсти, хлопка и т.п|тонина
Дерево семейства розовых с листьями ланцетовидной формы, приносящее сладкие сочные ароматные плоды|персик
Дополнительная, подсобная часть навеса, покрытия, расположенная в нижней части его|подкрылок
Кушанье, приготовленное из коровьего, свиного и т.п. фаршированного желудка|сычуг
Вспомогательный прибор, применяемый при электротехнических измерениях|магазин
Подпочвенный пласт земли|материк
Группа из пяти человек или пяти предметов|пятерка
Прыгающее насекомое, издающее стрекочущие звуки|кузнечик
Рукоятка инструмента|древко
Руководящая роль; главенство, господство|гегемония
Сезонная распродажа товаров|ярмарка
Воображаемая неподвижная прямая, проходящая через центр тела или пространства|ось
Мелкий щебень, крупный песок, образующиеся при выветривании или разработке некоторых горных пород|дресва
Музыкально-драматическое произведение - нередко комедийного характера - с элементами разговора и танцев|оперетта
Выращивание растений при искусственном освещении|светокультура
Произведение киноискусства, предназначенное для демонстрации на экране|кинофильм
Травоядное млекопитающее с сильно развитыми передними зубами|грызун
Воспаление сетчатки|ретинит
Почка, срезаемая с растения для прививки|глазок
Выборный представитель, член выборного органа государственной или местной власти|депутат
Увеличение частоты сердечных сокращений|тахикардия
Поведение, намеренно нарушающее общепринятые нормы и правила; скандальная выходка|эпатаж
Крупозное воспаление легких, осложненное плевритом|плевропневмония
Середина ночи, соответствующая 12 часам|полночь
Человек, живущий, обитающий в тайге|таежник
Насыщенная мыльным раствором вода в виде непрозрачной и легкой пузырчатой массы|пена
Соединение, скрепление|связь
Публичное распространение сведений, порочащих|диффамация
Человек, обращенный или способный - по мифологическим представлениям - обращаться с помощью волшебства в животное или в предмет|оборотень
Глубокое уважение, почтение, проявляемое по отношению к обществом, окружающими людьми|почет
